a,b,c
9,45,21
28,47,91
81,34,30
44,72,99
87,14,84
41,41,37
48,19,82
0,0,21
68,10,31
11,36,29
33,59,98
29,93,9
83,72,86
82,21,36
26,46,60
42,26,33
59,46,3
54,54,97
42,24,67
15,89,34
9,81,10
68,75,47
72,83,30
80,10,58
41,75,99
51,41,42
75,40,57
46,24,15
62,70,1
19,39,10
5,85,12
72,68,76
91,21,38
52,28,55
72,38,61
98,86,13
84,68,19
52,40,79
40,74,95
28,19,19
25,73,91
78,18,24
11,43,42
59,91,40
94,28,49
35,1,76
3,27,78
35,69,81
70,44,98
96,33,7
3,6,6
96,17,66
64,70,46
19,22,47
64,43,37
68,8,35
97,72,28
59,80,23
56,0,6
76,21,65
82,41,6
80,97,80
21,72,62
21,37,57
59,13,78
76,45,77
32,14,79
85,94,5
74,11,76
91,19,71
37,73,47
43,6,50
16,63,39
39,80,60
71,0,92
50,88,37
96,27,63
71,67,73
86,1,76
16,27,32
62,41,62
96,19,40
51,35,59
89,52,20
59,67,53
97,0,14
31,76,96
62,44,49
20,57,10
0,66,38
96,11,52
40,26,59
15,54,24
12,24,92
88,74,34
44,30,20
66,75,83
61,45,87
67,9,47
40,41,16
77,48,82
12,59,14
83,28,61
93,76,81
89,73,12
77,57,32
45,52,2
18,4,13
96,8,51
36,96,90
61,15,47
68,16,72
35,47,35
71,95,32
46,37,63
21,11,37
63,41,3
95,20,5
5,90,30
21,24,45
95,12,94
38,30,76
72,77,92
25,95,72
41,15,77
23,32,76
26,43,3
12,85,29
87,9,18
69,54,38
45,44,96
66,75,59
12,57,70
63,84,71
98,90,19
42,37,47
3,26,9
16,8,93
6,29,71
9,12,12
66,14,10
49,60,89
58,28,54
92,69,10
92,68,62
36,60,11
20,23,27
59,94,91
88,53,44
34,32,97
97,41,70
17,34,34
73,87,91
60,17,13
32,46,90
39,0,80
27,14,53
97,21,9
76,30,43
13,6,38
60,39,69
69,67,67
17,4,84
16,95,62
7,75,53
99,85,57
68,98,24
58,26,68
18,45,64
16,27,27
16,60,98
41,81,94
1,44,65
78,1,27
62,97,51
35,57,23
87,17,97
99,8,7
56,87,61
55,75,4
70,42,52
95,34,60
82,32,16
93,19,24
30,22,50
89,36,92
77,97,11
48,78,3
68,45,5
12,54,62
63,19,15
53,76,59
27,37,95
23,35,9
86,62,38
22,67,91
99,66,33
70,84,9
13,11,32
59,33,90
40,77,41
19,7,17
42,21,20
20,80,12
55,49,19
34,39,26
23,69,96
5,27,37
88,66,22
83,25,7
78,49,94
58,82,46
27,26,77
25,55,86
62,45,80
78,64,99
10,80,43
38,64,39
51,64,69
9,18,40
17,19,78
70,69,87
94,87,29
20,52,40
73,37,75
22,31,35
53,46,14
15,64,51
86,36,75
86,50,71
4,60,7
77,48,42
89,53,79
97,9,99
87,55,20
85,89,51
81,25,93
14,41,57
66,3,50
14,43,82
67,98,73
88,30,54
92,13,72
90,2,72
88,94,94
99,60,52
12,1,80
52,42,10
25,25,33
77,69,24
55,11,79
78,97,50
92,44,39
95,82,46
84,78,0
75,31,46
72,11,27
5,58,73
48,45,57
63,82,62
88,87,81
51,71,16
23,98,91
82,59,1
60,97,64
63,30,59
26,93,49
45,49,60
72,86,95
49,50,89
7,97,25
5,97,92
33,20,91
28,55,4
57,51,86
85,2,31
83,76,39
13,96,57
28,87,49
50,35,3
10,66,24
88,82,76
25,4,87
60,93,35
61,57,89
52,32,88
39,85,85
83,66,47
72,24,27
83,3,11
65,55,54
66,1,12
84,26,99
34,55,26
22,34,99
69,1,44
50,37,58
20,70,91
13,15,64
90,86,46
10,66,64
23,99,87
72,49,76
70,68,60
49,26,46
2,22,86
23,69,49
77,3,28
7,10,15
19,33,73
49,12,9
16,77,84
43,53,35
8,54,52
22,12,44
79,70,22
54,62,82
9,98,93
57,47,26
77,11,31
74,45,53
73,77,78
99,83,22
42,14,71
13,27,33
30,59,81
57,40,82
19,22,13
89,58,69
75,76,10
95,47,37
3,96,8
48,84,2
32,50,99
46,94,31
78,5,9
99,70,57
76,6,49
95,79,49
79,39,9
56,65,46
55,90,77
1,88,9
18,72,94
9,45,23
2,34,20
26,57,6
54,28,8
69,55,69
58,9,42
30,46,86
8,29,63
8,10,27
95,69,86
91,64,60
21,34,62
78,14,89
28,60,46
5,32,44
44,53,93
24,49,37
70,3,91
98,90,43
62,99,96
60,46,8
50,11,86
9,14,2
11,6,89
42,51,42
1,33,59
16,64,99
26,95,34
14,44,41
76,46,83
51,10,2
43,42,58
63,5,44
92,71,10
22,83,2
49,60,25
43,48,7
17,15,94
41,24,25
96,88,60
84,79,54
30,52,74
64,61,21
41,18,11
50,32,28
80,26,49
67,18,39
29,71,36
59,91,15
11,92,5
90,57,8
80,43,39
9,40,76
15,13,77
49,27,60
91,95,97
4,4,83
82,96,49
90,28,51
57,68,30
78,25,69
19,97,30
46,87,96
74,35,98
62,39,7
16,56,71
85,86,7
45,34,4
28,42,34
65,24,69
15,73,47
54,14,70
77,17,85
9,81,32
92,43,6
72,68,23
21,55,43
7,59,72
66,88,97
44,57,98
12,78,79
87,98,53
60,69,35
38,97,64
1,23,8
78,10,43
5,41,14
93,19,18
26,59,65
69,99,18
17,92,78
99,37,77
69,53,92
27,68,40
50,53,74
24,19,71
35,89,16
14,11,38
1,23,27
75,20,81
72,39,70
94,68,1
90,18,37
8,13,36
27,72,49
33,59,50
83,33,79
72,19,18
23,37,19
32,28,25
88,52,66
68,31,9
0,6,70
14,18,25
4,26,32
32,37,48
78,81,81
76,39,91
1,31,71
28,89,61
83,98,70
19,26,68
81,89,36
70,29,84
69,37,43
69,28,83
90,89,50
95,59,8
88,37,46
33,29,27
16,20,13
15,78,11
74,27,30
41,50,5
43,28,4
49,23,36
53,8,35
56,23,19
24,51,43
17,52,59
10,11,31
59,15,21
71,37,79
45,67,8
64,3,85
62,54,64
66,18,76
35,93,85
23,41,63
42,97,88
73,20,98
75,4,51
87,37,88
15,79,3
28,88,26
55,52,79
98,25,79
34,5,87
51,25,69
75,12,8
72,86,42
37,68,54
70,12,85
60,6,47
14,65,25
67,41,14
74,5,27
38,34,13
48,51,84
40,92,16
33,29,97
40,75,54
12,4,88
78,37,6
98,43,61
16,99,97
18,21,31
90,74,47
75,52,96
38,65,59
13,63,36
54,71,58
37,8,47
93,52,64
39,3,49
12,99,60
25,21,92
62,71,17
52,9,56
0,29,98
87,33,70
28,89,49
12,94,52
13,99,62
85,28,44
53,18,71
36,27,80
5,99,40
84,38,13
24,36,98
85,64,28
10,36,73
10,63,5
15,85,60
47,45,80
74,82,37
99,59,29
43,46,79
15,17,89
43,11,38
55,34,2
54,58,22
57,63,24
59,4,13
16,73,64
77,46,30
96,94,43
17,23,28
95,49,67
96,92,33
11,28,37
42,91,65
98,79,86
2,82,94
71,14,38
16,55,85
51,46,10
14,15,82
51,85,53
52,3,60
24,2,23
15,73,90
32,82,40
1,22,70
6,38,72
30,22,34
98,85,23
39,51,86
90,40,14
70,93,34
43,89,69
14,50,21
69,2,19
28,73,25
93,19,74
6,31,20
22,82,8
40,4,34
90,38,9
35,50,79
61,5,5
23,89,99
88,16,23
84,9,44
30,5,50
97,3,23
95,54,26
2,42,37
26,92,32
40,81,94
26,29,19
27,66,49
0,69,95
74,98,62
99,57,68
96,2,60
15,67,63
94,40,95
37,61,1
63,62,63
55,27,92
89,26,66
28,84,86
30,88,21
40,61,39
44,23,38
38,25,73
20,39,39
84,69,36
61,25,58
42,70,90
63,35,91
18,66,88
75,1,11
54,85,71
87,49,28
93,42,70
5,32,52
0,20,78
64,85,56
75,30,94
1,62,22
2,62,82
61,46,52
44,1,79
51,7,5
1,0,14
51,6,74
35,5,96
2,13,12
13,24,88
85,69,56
87,52,25
75,15,61
77,8,13
15,15,34
99,17,86
98,85,99
8,4,17
33,38,79
69,13,26
73,45,18
54,56,56
71,94,95
83,93,44
68,59,54
92,66,13
64,76,64
25,93,87
57,11,15
30,57,12
92,6,44
84,91,76
2,80,61
40,66,55
93,75,34
81,84,2
51,98,30
51,2,48
48,19,0
17,14,6
12,66,34
68,55,64
21,36,42
0,53,80
46,17,84
84,98,86
34,73,30
22,72,75
86,33,96
26,55,4
12,26,9
39,44,76
74,82,88
22,89,99
94,40,76
21,44,22
70,71,63
83,50,39
17,89,69
26,99,38
37,40,74
28,68,88
16,62,57
78,69,22
32,52,28
32,35,96
23,62,1
56,3,47
73,15,2
16,37,56
45,14,36
42,65,18
70,14,31
11,89,83
44,76,24
80,35,57
89,41,47
71,38,94
96,26,4
3,74,89
89,29,62
48,81,91
33,68,56
29,69,21
44,52,40
58,15,3
94,3,71
88,72,9
93,48,36
65,71,98
60,77,39
69,43,96
17,7,5
92,5,30
63,4,31
22,58,75
60,8,23
48,93,76
3,45,1
37,49,99
7,44,47
78,83,33
64,8,43
76,29,99
26,84,34
58,5,44
24,51,24
84,27,89
80,16,9
26,67,9
21,94,45
98,61,88
60,75,83
9,59,44
35,35,60
93,84,99
84,69,75
47,36,74
62,55,84
1,33,88
45,59,26
66,87,64
27,31,78
37,1,58
62,71,49
65,91,98
31,0,52
25,51,55
32,86,7
61,57,28
13,41,29
77,96,85
11,77,23
72,73,82
90,37,5
94,58,27
51,83,78
33,66,8
13,86,92
50,44,62
51,46,22
44,69,27
49,2,88
56,61,0
15,20,8
32,65,67
1,16,57
3,47,43
19,88,14
33,48,93
23,34,64
91,66,10
63,88,69
7,11,67
40,77,79
40,72,19
89,45,81
27,70,59
91,26,11
15,53,50
0,62,75
86,18,97
21,19,56
72,6,66
22,71,54
9,8,91
53,25,26
51,28,39
39,52,16
87,64,13
61,99,65
56,27,86
36,9,41
48,28,23
57,80,41
89,23,0
92,53,60
21,64,66
70,88,70
58,38,43
91,91,90
39,15,96
2,15,47
36,45,50
38,85,15
52,96,54
48,24,84
39,65,70
68,32,62
46,17,62
87,77,39
21,64,63
68,8,64
58,97,80
5,92,98
60,6,43
67,72,94
81,83,96
42,43,25
14,77,93
26,81,71
14,63,18
86,76,32
48,84,41
58,22,51
93,58,77
91,44,12
89,57,11
90,95,74
53,79,62
30,36,66
42,57,84
56,98,48
97,53,67
71,92,28
47,76,33
14,17,98
2,33,8
74,89,61
10,98,35
44,81,39
10,82,0
62,63,34
81,33,6
12,51,29
31,48,38
62,8,93
99,47,50
87,36,54
62,64,27
18,18,98
16,98,37
81,11,72
12,83,16
20,58,6
16,18,82
22,92,70
34,36,91
43,21,43
43,96,47
31,39,20
25,63,71
59,62,27
52,63,76
69,17,83
93,63,98
25,38,26
5,59,12
19,94,56
17,64,11
84,35,72
86,9,53
2,4,85
88,28,34
90,92,13
61,4,87
54,23,98
7,24,88
90,80,5
87,92,94
16,7,88
38,90,99
23,16,94
23,3,84
70,94,67
3,9,93
57,63,12
74,47,22
29,0,97
1,64,49
82,19,70
83,68,34
67,35,73
78,89,62
62,94,23
60,1,73
95,6,14
48,85,32
79,76,79
67,3,44
0,91,61
83,79,67
43,34,10
93,99,73
20,13,85
33,14,77
7,44,38
99,1,37
20,28,85
65,6,35
24,44,21
14,89,3
72,57,85
45,59,42
23,31,17
46,72,65
91,81,25
31,97,97
29,11,44
46,53,15
37,24,91
57,11,65
94,27,35
1,32,86
0,83,64
62,9,52
73,0,85
81,12,83
32,6,46
47,27,42
30,64,16
45,40,29
1,73,73
72,23,44
82,96,65
35,0,36
15,28,55
40,74,3
57,92,62
1,57,22
22,58,27
12,0,61
50,15,86
21,97,4
73,89,90
81,56,18
43,22,34
13,85,11
53,40,72
22,70,85
35,4,69
11,98,4
52,58,15
1,10,72
78,57,93
78,74,16
14,9,5
8,35,72
26,93,86
72,29,45
21,76,60
74,28,39
55,99,49
23,88,34
21,28,61
87,6,45
16,97,53
15,68,48
18,96,13
81,22,45
81,32,78
37,39,21
14,29,27
74,61,29
71,17,15
69,44,32
5,30,57
77,85,23
32,52,68
66,46,41
27,47,1
40,90,57
40,79,91
7,35,34
80,23,72
96,68,17
6,6,77
40,82,57
0,2,61
95,74,69
97,92,44
68,53,33
45,62,24
65,25,99
61,16,77
59,24,42
27,65,25
63,9,49
83,26,85
19,54,15
88,10,80
32,22,1
79,52,39
20,16,94
25,96,90
72,67,99
63,0,25
22,94,60
84,96,24
35,38,64
69,94,18
84,7,29
57,12,20
92,68,27
26,61,35
28,37,64
46,45,82
11,13,98
39,76,21
20,84,85
86,24,28
84,13,75
34,81,51
69,88,54
10,36,85
98,57,99
90,11,1
90,3,15
8,86,10
2,17,18
26,12,7
2,32,35
97,94,51
62,4,75
76,61,21
21,79,98
21,74,82
1,3,51
79,96,23
75,11,27
74,39,26
13,30,92
54,55,83
84,32,42
67,41,39
99,93,75
75,15,73
56,17,71
83,92,89
51,99,12
72,57,95
6,65,49
30,0,56
7,23,91
70,95,90
49,43,62
19,52,17
22,86,65
4,54,71
43,32,22
65,95,50
15,56,11
65,43,90
53,52,39
15,89,34
10,95,73
99,6,81
70,9,76
95,68,98
95,24,85
23,90,57
65,13,59
51,48,52
35,28,76
46,52,45
71,41,12
14,9,20
37,45,97
66,85,31
32,40,48
43,58,99
73,4,46
92,75,27
46,51,88
20,42,69
72,77,73
27,94,21
59,68,8
4,62,80
1,40,33
42,39,44
69,72,55
5,49,78
7,37,0
12,43,95
98,22,35
88,30,72
89,18,39
72,99,75
10,43,34
72,65,41
96,16,50
86,69,18
95,71,54
17,38,68
3,77,62
4,62,47
15,70,97
92,86,96
66,13,49
17,12,74
11,53,93
69,89,80
20,38,80
97,77,26
17,19,69
56,1,91
39,54,48
28,97,2
51,44,27
59,82,50
89,65,23
78,99,97
76,41,96
26,42,21
99,21,76
82,40,6
25,44,21
80,99,44
96,90,82
97,49,91
90,30,16
53,5,31
88,31,30
18,90,6
85,18,92
83,30,19
78,24,86
62,68,26
75,95,21
82,93,62
14,65,78
83,33,17
32,88,44
21,10,45
55,91,55
52,14,6
99,31,7
64,75,43
28,87,5
50,5,88
11,1,2
68,7,60
49,86,86
81,29,64
53,99,45
23,19,95
48,12,11
85,9,44
73,11,41
63,5,16
21,58,85
55,67,6
19,40,41
81,53,99
36,56,67
75,16,9
43,14,87
46,41,13
82,81,78
77,50,81
14,22,37
29,6,67
19,59,89
10,76,52
77,83,56
35,3,34
12,25,2
69,68,97
32,16,92
58,7,43
68,64,48
55,90,50
37,21,12
29,62,37
60,20,75
91,44,74
19,35,80
32,89,1
45,74,64
48,84,7
66,30,58
10,36,15
79,54,26
65,34,70
43,50,65
98,78,41
16,99,11
76,53,28
40,78,20
15,18,65
95,44,43
92,4,90
84,69,75
7,76,25
4,7,10
61,89,92
94,32,38
55,82,76
62,63,93
21,55,59
65,44,44
49,54,99
25,23,3
85,98,99
47,82,9
95,26,36
80,29,3
41,95,94
17,18,6
62,70,77
9,84,19
32,6,60
31,2,71
20,88,18
76,55,9
55,14,79
81,92,22
48,21,91
74,70,58
76,26,67
64,47,69
2,48,23
39,87,44
2,60,59
42,77,47
17,18,62
0,99,40
54,7,67
25,27,61
66,54,27
37,36,98
74,3,95
82,66,59
89,45,4
42,92,9
53,76,42
15,59,22
50,80,1
47,90,53
38,35,93
14,30,55
80,88,30
53,81,2
42,62,52
82,53,61
97,26,40
48,3,33
18,58,5
45,10,6
80,98,75
46,26,22
7,8,6
21,99,65
43,82,35
89,21,24
2,60,64
34,47,50
83,86,38
1,76,63
62,13,64
92,49,54
11,36,73
52,76,74
97,55,58
69,28,4
7,68,62
63,48,20
94,11,30
29,94,88
3,42,26
42,84,26
7,45,15
13,80,63
1,16,45
73,87,59
82,83,62
42,46,20
69,4,10
42,17,53
18,30,8
5,71,97
73,99,40
65,59,7
2,74,64
2,90,27
46,19,93
47,4,54
73,64,18
82,14,58
98,19,49
58,45,10
71,14,79
10,48,1
70,16,37
33,90,42
33,10,18
33,41,12
37,17,40
83,45,79
40,64,92
51,27,73
10,23,61
96,54,65
57,13,93
99,30,12
71,29,15
22,32,34
81,69,10
0,39,35
97,84,44
80,88,12
24,53,23
91,49,23
13,43,53
26,3,32
29,13,89
12,65,43
39,60,46
69,46,64
3,86,5
37,43,45
64,64,57
33,77,42
78,22,84
3,9,31
59,24,40
42,64,6
93,5,57
50,26,12
31,44,42
74,77,37
16,88,43
29,83,61
40,11,16
18,19,58
82,42,38
73,98,84
26,89,36
88,87,56
20,8,51
75,32,51
16,33,29
90,11,44
20,89,50
40,89,41
88,33,21
55,74,9
83,50,42
82,17,30
92,54,97
47,13,88
68,22,76
14,88,5
37,33,64
4,66,55
90,61,88
45,55,19
44,36,78
29,63,95
30,44,11
26,9,49
15,24,4
64,92,4
55,70,25
19,31,85
90,63,18
84,51,52
56,89,17
72,40,37
74,18,65
24,31,24
79,97,49
3,75,25
3,66,22
29,56,12
82,73,16
11,31,65
3,10,48
0,60,42
70,37,38
25,60,16
56,59,25
99,92,6
46,93,4
60,8,55
94,8,24
13,73,59
35,18,32
59,14,41
65,82,0
87,20,88
93,93,35
82,24,46
19,54,17
24,26,79
24,91,39
57,29,80
5,81,7
90,34,61
41,83,54
60,97,46
12,75,91
84,26,26
16,83,92
65,4,27
77,57,14
92,57,86
55,40,37
33,50,12
23,22,94
83,78,20
62,82,25
71,39,68
73,53,87
47,68,44
72,28,89
10,5,11
64,87,94
81,48,71
40,60,67
80,96,92
83,23,51
76,8,45
5,12,8
71,81,14
58,38,11
75,80,8
80,15,61
70,4,34
27,84,92
59,76,21
22,15,81
11,19,83
24,79,68
14,85,72
34,56,28
42,69,44
59,55,46
39,84,80
48,55,49
77,95,56
46,29,18
66,0,69
51,6,83
15,47,3
5,61,26
60,46,62
53,88,8
49,72,18
39,59,27
12,58,51
32,22,12
6,52,27
34,45,32
63,40,34
90,65,4
96,26,54
46,19,82
88,46,36
20,41,25
27,86,10
27,87,22
72,71,33
21,17,20
20,30,31
16,34,97
22,9,52
93,2,14
51,51,52
60,87,0
3,83,38
9,34,59
10,8,65
3,64,80
40,29,64
27,57,42
88,61,58
41,94,54
16,79,23
78,48,43
94,74,25
69,32,78
77,12,88
60,53,71
59,37,8
75,60,62
59,86,40
39,21,42
11,75,99
32,12,40
28,81,59
38,3,90
59,96,24
96,98,88
3,1,62
49,90,57
93,81,47
62,91,42
92,75,90
35,44,51
21,65,90
21,19,25
29,96,58
43,34,99
60,21,38
1,96,6
2,3,55
68,2,11
95,48,21
7,31,19
35,83,15
19,26,94
14,50,95
34,93,10
64,28,58
91,54,66
67,43,88
12,75,40
72,41,79
11,61,76
76,53,1
72,0,22
2,0,62
36,51,19
11,1,23
81,20,94
46,6,96
4,5,75
56,16,37
90,78,44
12,33,31
60,93,9
34,21,83
64,15,0
77,41,8
2,50,23
34,96,37
36,99,40
67,44,7
78,97,67
41,42,70
58,69,3
25,95,23
54,20,97
45,76,5
37,99,72
99,96,79
55,42,66
62,74,83
54,90,5
30,73,41
82,3,49
73,31,22
71,8,43
88,69,8
94,3,36
65,76,87
81,89,74
85,11,28
54,93,82
79,56,48
90,98,98
51,59,43
26,88,45
99,6,23
59,12,94
64,48,72
70,98,84
68,53,39
63,89,92
4,17,79
32,93,0
78,64,96
38,20,85
42,46,8
95,76,38
8,39,42
51,98,10
74,10,78
79,22,44
69,91,3
37,33,48
11,92,47
15,71,99
76,47,20
68,22,71
79,2,62
51,41,3
15,89,58
24,7,6
13,98,24
26,14,79
44,63,57
87,85,61
60,77,24
57,24,27
52,86,39
16,61,64
46,68,98
65,87,0
35,39,6
32,15,68
46,80,0
48,41,54
94,48,28
98,84,72
96,72,34
81,75,17
26,78,90
8,42,31
50,37,17
14,20,26
50,56,9
8,15,68
69,75,20
11,33,42
66,45,8
95,8,95
10,22,76
54,95,53
29,5,85
76,37,11
41,52,99
94,15,99
31,50,8
0,11,92
92,34,75
10,37,97
50,79,66
59,12,49
71,72,45
4,40,42
87,32,93
97,57,98
71,72,84
79,93,76
94,22,58
99,83,20
52,89,5
19,60,68
17,12,72
33,31,89
23,85,19
68,85,55
96,54,30
87,13,30
42,61,79
10,23,42
88,5,83
76,69,97
79,57,96
77,97,90
74,96,59
3,10,42
74,61,86
16,45,12
13,2,86
86,61,16
48,82,33
16,2,32
57,7,7
92,47,47
29,82,16
66,1,17
23,8,84
2,11,72
54,51,20
85,72,80
25,32,94
15,29,80
66,16,21
64,65,59
64,78,4
62,8,19
76,47,29
17,37,45
46,21,82
48,4,56
66,11,52
69,32,56
2,53,61
77,63,84
20,84,79
53,80,20
3,20,46
93,35,79
36,84,43
84,1,58
7,7,44
20,74,97
27,65,62
22,76,61
86,63,1
75,21,68
98,15,15
20,59,75
92,39,23
73,77,12
88,65,16
63,74,83
7,33,68
92,37,36
69,58,93
96,90,5
50,71,69
23,8,51
44,6,34
63,83,94
89,16,70
58,20,20
17,14,36
40,43,60
96,2,49
3,94,91
37,3,6
3,75,21
18,34,2
86,15,17
83,67,60
98,22,37
9,70,75
98,82,18
78,27,4
70,69,58
31,24,58
51,99,84
77,2,23
63,73,36
27,29,49
84,76,98
77,27,30
33,76,59
0,76,55
16,72,25
